tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0005674169, 33.036553, 27.138397, 9.34, 1790.818429, 0.3182028, 0.854,
0310519261, 242.538832, 35.958508, 11.98, 1956.154418, 0.3188151, 0.754,
0421110675, 11.469604, 63.085682, 10.65, 1764.945121, 0.3188568, 0.730,
0336485975, 281.295395, 28.686112, 9.40, 2010.494470, 0.3189230, 0.736,
0032543789, 84.571666, -27.520495, 11.34, 1438.123583, 0.3191196, 0.826,
0231075361, 67.717290, -66.831361, 11.48, 1598.587683, 0.3197352, 1.002,
0129455317, 343.423560, 37.938502, 8.43, 1738.824642, 0.3207265, 0.744,
0313025849, 143.310970, 74.613363, 13.45, 1683.498043, 0.3209361, 0.894,
0239309691, 300.539708, 45.507199, 10.92, 1683.345522, 0.3210140, 0.718,
0057963765, 5.028969, 33.231061, 11.51, 1764.924614, 0.3210187, 0.925,
0383858742, 222.179741, -42.096896, 8.80, 1600.394641, 0.3211244, 0.943,
0067296459, 83.389413, 36.992354, 13.79, 1816.250428, 0.3212310, 0.582,
0067686556, 63.036873, -10.469443, 7.97, 1438.050732, 0.3215666, 0.735,
0255682622, 98.581994, -48.555503, 8.89, 1468.563028, 0.3215756, 0.953,
0286917658, 121.387066, 43.350452, 8.76, 1842.841027, 0.3216191, 0.727,
0206544316, 18.418020, -59.659564, 11.63, 1325.192681, 0.3219472, 0.437,
0213067604, 75.515526, -2.802081, 10.57, 1438.105658, 0.3219872, 0.728,
0142013583, 96.202891, -72.011001, 12.32, 1544.841909, 0.3220011, 0.964,
0310170498, 239.605280, 49.447500, 11.26, 1929.913585, 0.3222297, 0.857,
0204327008, 347.098962, -19.703903, 11.08, 1354.267643, 0.3232092, 0.742,
0445133704, 11.127589, 54.004231, 10.64, 1765.019624, 0.3239555, 0.814,
0237114978, 269.671570, 58.161478, 10.64, 1684.044148, 0.3240331, 0.973,
0159510983, 248.069134, 77.903380, 11.55, 1983.594610, 0.3242724, 0.782,
0287174076, 19.049149, -6.993545, 12.13, 1386.295242, 0.3247485, 0.748,
0023559851, 169.268247, -35.150803, 9.23, 1544.627042, 0.3248137, 0.611,
0441734144, 258.558160, 76.703975, 10.59, 1683.673035, 0.3254052, 0.718,
0052368472, 24.003699, -66.726572, 8.93, 1325.417085, 0.3259718, 0.807,
0000120016, 222.577328, -24.427736, 7.51, 1600.078662, 0.3263708, 0.849,
0412063998, 0.506940, -66.888585, 11.65, 1325.456966, 0.3265817, 0.763,
0159854359, 236.793988, 53.036334, 10.02, 1738.994722, 0.3266553, 0.752,
0159854358, 236.789137, 53.024046, 10.17, 1738.994669, 0.3266562, 0.731,
0309809572, 225.289957, 48.804417, 11.62, 1738.860240, 0.3268057, 0.852,
0153826685, 340.698861, 45.351448, 9.60, 1738.768211, 0.3269960, 0.824,
0120956236, 53.927905, -20.351932, 11.22, 1411.027258, 0.3270847, 0.752,
0036729364, 40.429365, -6.363573, 12.07, 1410.975927, 0.3274820, 0.892,
