,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
1643,9706078,0.614,sp,0.613,0.97,,,,,,,,,
1644,9711751,1.712,sp,1.676,1.218,,,,,,,,,
1645,9714123,50.355,np,50.042,0.669,,,,,,,,,a
1646,9714358,6.474,sp,7.683,1.198,7.416,7.713,7.958,8.254,0.087,0.05,0.034,0.04,
1647,9715925,6.308,np,25.297,0.738,,,,,,,,,a
1648,9715939,12.893,np,103.108,0.026,,,,,,,,,a
1649,9717924,0.396,ev,,,,,,,,,,,
1650,9719636,3.352,sp,4.189,1.312,4.06,4.179,4.283,4.442,0.115,0.052,0.04,0.068,
1651,9722737,0.419,ev,,,,,,,,,,,
1652,9724993,7.863,sp,11.341,1.239,11.036,11.529,,,0.076,0.152,,,
1653,9752973,0.717,sp,11.606,0.643,11.07,11.914,13.267,,0.015,0.012,0.141,,
1654,9753154,3.704,np,3.269,0.381,,,,,,,,,a
1655,9758089,92.729,sp,21.578,0.637,20.646,22.502,,,0.049,0.025,,,
1656,9761199,1.384,sp,1.349,0.224,,,,,,,,,
1657,9761573,7.442,ot,,,,,,,,,,,
1658,9761882,24.586,np,196.53,0.017,,,,,,,,,a
1659,9762519,7.515,sp,7.847,1.176,,,,,,,,,
1660,9767392,2.915,ev,,,,,,,,,,,
1661,9767437,0.713,sp,0.715,1.069,,,,,,,,,
1662,9772531,31.202,np,37.23,0.461,,,,,,,,,a
1663,9772642,0.275,ev,,,,,,,,,,,
1664,9774400,10.818,sp,10.666,0.794,,,,,,,,,
1665,9775253,8.788,sp,9.951,0.849,,,,,,,,,
1666,9776718,0.544,ev,,,,,,,,,,,
1667,9777062,19.23,pux,,,,,,,,,,,
1668,9777090,5.508,sp,6.028,1.296,,,,,,,,,
1669,9777987,0.259,ev,,,,,,,,,,,
1670,9783760,89.74,sp,18.717,0.216,17.44,18.887,20.101,23.466,0.02,0.021,0.019,0.024,
1671,9784230,0.798,sp,0.797,0.181,0.796,0.798,,,0.133,0.402,,,
1672,9785454,184.52,np,184.048,0.493,,,,,,,,,a
1673,9786017,4.498,ev,,,,,,,,,,,
1674,9786165,0.333,ev,,,,,,,,,,,
1675,9786798,0.445,ev,,,,,,,,,,,
1676,9788457,0.963,ev,,,,,,,,,,,
1677,9790965,0.822,ev,,,,,,,,,,,
1678,9813678,0.505,ev,,,,,,,,,,,
1679,9818732,45.036,np,45.342,0.465,,,,,,,,,a
1680,9821078,8.429,sp,9.849,1.102,9.774,10.112,,,0.219,0.113,,,
