,TIC,period,morph,RA,DEC
339,18269802,0.3431555,0.74,264.835832,35.702931
340,166660531,0.3431742,0.766,207.982246,-36.623565
341,141606986,0.3438411,0.731,88.752956,-72.693341
342,241578867,0.3441001,0.756,25.688321,-3.409298
343,382266319,0.3442883,0.769,82.847126,-58.202602
344,28306907,0.3453998,0.93,297.835771,49.545807
345,156380098,0.3454378,0.945,159.886355,15.331026
346,23753424,0.3455705,0.94,208.578533,40.761765
347,115046240,0.3458225,0.832,72.983987,-16.496576
348,35744707,0.3464465,0.709,40.025482,-5.943226
349,63309085,0.3464973,0.961,158.35745,17.574287
350,356199330,0.3466258,0.965,266.914776,53.822037
351,139452314,0.3467611,0.785,169.062836,35.840873
352,139700621,0.3467937,0.763,322.632402,-53.108262
353,115971584,0.3469337,0.834,266.044104,40.280864
354,311431771,0.3473144,0.956,264.21702,23.805517
355,29848012,0.3491737,0.779,23.568076,-7.410553
356,380659334,0.3494674,0.914,269.152182,-63.142416
357,284461108,0.3495299,0.644,290.89074,56.260365
358,21442712,0.349539,0.951,85.406555,-38.373604
359,229143092,0.351034,0.921,26.521791,-49.568267
360,319291434,0.3512605,0.818,53.654334,-9.129335
361,456130400,0.3517059,0.801,51.662011,42.723551
362,363885457,0.3517662,0.901,200.767897,-43.348809
363,156376126,0.3518407,0.665,176.954351,35.226452
364,279401848,0.3521565,0.724,57.557484,-17.652987
365,298246821,0.3524517,0.774,224.118069,46.362242
366,159493588,0.3534062,0.769,220.197549,-37.421523
367,137151074,0.3536262,0.917,291.40697,38.567925
368,274676647,0.354332,0.782,256.28777,49.208855
369,55778901,0.3545554,0.756,182.260416,56.031654
370,388245308,0.3546867,0.733,326.143738,54.366961
371,271550131,0.3549805,0.824,86.903772,-46.951046
372,157788279,0.3552452,0.859,173.341847,-14.461148
373,410299018,0.3558795,0.998,149.7797,-22.142009
374,231922739,0.3565535,0.762,92.961282,-45.329062
375,40534599,0.3567582,0.793,174.675034,-15.312507
376,252725557,0.3568422,0.964,347.480018,48.393093
377,206912019,0.3572646,0.913,242.633905,-54.333713
